,name,link,employer,sal_min,sal_max,sal_cur
136,Data scientist (NLP) - Sberbank AI Lab,https://hh.ru/vacancy/37733784?query=data%20scientist, Сбербанк для экспертов,,,
137,Аналитик данных / Data scientist,https://hh.ru/vacancy/36953584?query=data%20scientist," Программный Продукт, ИТ-компания",,,
138,Аналитик данных (Data Scientist) разработчик,https://hh.ru/vacancy/37751628?query=data%20scientist, Аналитический центр,,,
139,MIddle Data Analyst / Scientist,https://hh.ru/vacancy/37190219?query=data%20scientist," Компания «СПОРТМАСТЕР», SM Lab",,,
140,Менеджер по исследованию больших данных (Data Scientist),https://hh.ru/vacancy/36749314?query=data%20scientist, Tele2,,,
141,Data Scientist/Engineer,https://hh.ru/vacancy/37743101?query=data%20scientist, SegmentStream,,,
142,Lead Data Scientist,https://hh.ru/vacancy/37714468?query=data%20scientist,АО ДОМ.РФ,,,
143,Senior Data Scientist (NLP),https://hh.ru/vacancy/37714719?query=data%20scientist," Компания «СПОРТМАСТЕР», SM Lab",,,
144,"Data Scientist, Дивизион «Массовая персонализация»",https://hh.ru/vacancy/37753502?query=data%20scientist, Сбербанк для экспертов,,,
145,Data Science,https://hh.ru/vacancy/37728271?query=data%20scientist, Kelly Services,,,
146,Data Scientist (NLP),https://hh.ru/vacancy/37183492?query=data%20scientist, Сбербанк для экспертов,,,
147,IT Recruiter,https://hh.ru/vacancy/36529313?query=data%20scientist, Авито,,,
148,AI Research Engineer,https://hh.ru/vacancy/37776197?query=data%20scientist, Coleman Services,,,
149,"AI Research Engineer [Computer Vision, Machine Learning, Algorithms]",https://hh.ru/vacancy/37740238?query=data%20scientist, Coleman Services,,,
150,Главный специалист Управления анализа и моделирования/Data Scientist,https://hh.ru/vacancy/37668113?query=data%20scientist, Московский Кредитный Банк,,,
151,"Ведущий автор курса ""AI-разработчик""",https://hh.ru/vacancy/37705400?query=data%20scientist, SkillFactory,,,
152,Data Scientist (клиентская аналитика),https://hh.ru/vacancy/37668275?query=data%20scientist,"ПАО МегаФон, IT",,,
153,Data Scientist,https://hh.ru/vacancy/36357367?query=data%20scientist, Сибур,,,
154,Data Scientist,https://hh.ru/vacancy/37644640?query=data%20scientist,АО МаксимаТелеком,,,
155,Data-инженер в команду Data Lake,https://hh.ru/vacancy/37682536?query=data%20scientist, Райффайзенбанк,,,
156,Middle data scientist,https://hh.ru/vacancy/37226477?query=data%20scientist," МАГНИТ, Розничная сеть",,,
157,Senior Leak Detection Engineer,https://hh.ru/vacancy/37662634?query=data%20scientist, Sensoleak LTD,,,
158,Data scientist (Центр валидации моделей банковской и торговой книги),https://hh.ru/vacancy/37636590?query=data%20scientist, Сбербанк для экспертов,,,
159,Data Scientist (Центр валидации моделей сервисных блоков и экосистемы),https://hh.ru/vacancy/37636582?query=data%20scientist, Сбербанк для экспертов,,,
160,Data scientist/ Директор в управлении розничного моделирования,https://hh.ru/vacancy/37625294?query=data%20scientist, Банк ВТБ (ПАО),,,
161,Data scientist (Центр валидации моделей розничного бизнеса),https://hh.ru/vacancy/37636587?query=data%20scientist, Сбербанк для экспертов,,,
162,Data scientist,https://hh.ru/vacancy/37601041?query=data%20scientist, Сбербанк для экспертов,,,
163,Senior Data Scientist (Machine Learning),https://hh.ru/vacancy/37617343?query=data%20scientist, Сбербанк для экспертов,,,
164,Senior Data scientist (ML модели корпоративного бизнеса),https://hh.ru/vacancy/37625291?query=data%20scientist, Банк ВТБ (ПАО),,,
165,Data Scientist - Risk Models Developer,https://hh.ru/vacancy/37624145?query=data%20scientist, UniCredit Bank,,,
166,Директор по инвестициям (Family office),https://hh.ru/vacancy/37506599?query=data%20scientist,,500000,1000000,руб.
167,Преподаватель курса Анализ данных на Python,https://hh.ru/vacancy/37638982?query=data%20scientist, Nordic IT School,,,
168,Senior data science,https://hh.ru/vacancy/36815680?query=data%20scientist," МАГНИТ, Розничная сеть",,,
169,Senior Data Scientist (Knowledge Graph),https://hh.ru/vacancy/37608468?query=data%20scientist, Сбербанк для экспертов,,,
170,Technical Lead в Data Science-команду/Data Engineer,https://hh.ru/vacancy/37111755?query=data%20scientist," «РОСБАНК, Societe Generale Group», с опытом работы",,,
171,Senior Data Engineer,https://hh.ru/vacancy/37623561?query=data%20scientist, PicsArt,,,
172,Технический директор разработки SAAS продукта,https://hh.ru/vacancy/37249572?query=data%20scientist, Bell Integrator,,,
173,Data Scientist (Middle/Senior) - моделирование кредитных рисков корпоративных клиентов (Блок Риски),https://hh.ru/vacancy/33462158?query=data%20scientist, Сбербанк для экспертов,,,
174,Senior Python Systems Engineer,https://hh.ru/vacancy/37618147?query=data%20scientist, PeakData,200000,280000,руб.
175,Big data developer/data engineer (middle/senior),https://hh.ru/vacancy/36426931?query=data%20scientist,ООО Ростелеком Информационные Технологии,,,
176,Data scientist (Центр развития платформы Sber.DS),https://hh.ru/vacancy/37325042?query=data%20scientist, Сбербанк для экспертов,,,
177,Диджитал-аналитик (Digital Analyst),https://hh.ru/vacancy/37707788?query=data%20scientist, MTRENDO,75000,150000,руб.
178,Data Scientist / Industrial Engineer,https://hh.ru/vacancy/37662629?query=data%20scientist, Sensoleak LTD,,,
179,Data Scientist / Engineer (Machine Learning / Analytics / Statistics),https://hh.ru/vacancy/37662632?query=data%20scientist, Sensoleak LTD,,,
180,"R&D Team Lead (Industrial Simulation, Data Analysis, Predictive Modeling)",https://hh.ru/vacancy/37662636?query=data%20scientist, Sensoleak LTD,,,
181,Data Scientist,https://hh.ru/vacancy/37639273?query=data%20scientist, Strategy Partners Group,,,
